team_home, team_away, score_home, score_away
PHI,ORL,112,111
CLE,OKC,109,118
UTA,DAL,105,112
BOS,POR,120,111
MIA,BKN,108,99
DEN,NYK,131,123
SAS,DET,103,92
LAL,MIL,122,114
GSW,MEM,122,107
NOP,MIN,122,106
IND,WAS,107,112
ATL,SAC,107,108
CHI,PHX,97,115
LAC,CHA,107,102
MIL,IND,116,100
MIA,PHI,109,117
DEN,CLE,109,125
GSW,OKC,130,114
PHX,HOU,102,133
ORL,DAL,80,112
BOS,UTA,112,104
CHI,MIN,89,117
SAS,NYK,90,94
DET,TOR,102,101
NOP,SAC,99,105
PHI,CHA,105,99
SAS,IND,110,106
MEM,BKN,112,103
ORL,MIA,116,107
OKC,WAS,98,120
DET,MIL,89,102
BOS,DAL,111,98
GSW,DEN,110,132
LAC,UTA,88,72
NOP,PHX,110,108
ATL,POR,109,104
TOR,CHI,94,105
CLE,MIN,116,108
SAC,LAL,97,96
SAS,ORL,107,79
IND,CLE,104,113
PHI,BOS,108,116
CHA,TOR,85,90
MIL,BKN,129,125
DAL,DET,91,98
NOP,MEM,95,91
MIA,HOU,117,109
MIN,DEN,112,99
POR,UTA,88,111
LAL,PHX,101,137
NYK,OKC,105,116
ATL,LAC,84,99
SAC,GSW,86,109
WAS,IND,111,98
BOS,CHI,103,104
EST,WST,182,192
POR,ORL,112,103
CHA,DET,108,114
HOU,NOP,129,99
NYK,CLE,104,119
LAC,GSW,113,123
DEN,SAC,100,116
WAS,PHI,112,120
MEM,IND,92,102
BOS,TOR,97,107
PHX,CHI,121,128
UTA,MIL,109,95
LAL,OKC,93,110
DAL,MIN,84,97
MIA,ATL,108,90
BKN,DEN,109,129
SAS,LAC,105,97
CHA,SAC,99,85
ATL,ORL,86,105
PHI,NYK,109,110
IND,MIA,95,113
NOP,DAL,83,96
CHI,CLE,117,99
MIN,HOU,130,142
BKN,GSW,95,112
SAS,LAL,119,98
PHX,MIL,96,100
MEM,DEN,105,98
UTA,WAS,102,92
POR,TOR,106,112
BOS,DET,104,98
NOP,OKC,110,118
CHA,LAC,121,124
TOR,NYK,92,91
GSW,PHI,119,108
MIL,CLE,95,102
ATL,BOS,114,98
MIA,DAL,89,96
IND,HOU,117,108
MIN,SAC,102,88
GSW,WAS,108,112
POR,DET,113,120
DEN,CHI,125,107
PHX,MEM,112,130
UTA,OKC,106,109
CHA,LAL,109,104
NYK,ORL,101,90
WAS,TOR,105,96
DAL,ATL,95,100
PHI,MIA,98,125
DEN,MIL,110,98
DET,NOP,86,109
CLE,BOS,99,103
IND,SAS,99,100
MIN,UTA,107,80
HOU,LAC,122,103
BKN,SAC,109,100
GSW,CHI,87,94
CHA,PHX,103,120
OKC,POR,109,114
NYK,PHI,102,105
TOR,WAS,114,106
MIA,ORL,99,110
CLE,ATL,135,130
LAC,MIL,101,112
MEM,DAL,100,104
BKN,UTA,97,112
OKC,PHX,111,118
SAS,NOP,101,98
BOS,LAL,115,95
DET,PHI,136,106
TOR,MIL,94,101
CLE,MIA,92,120
LAC,CHI,101,91
CHA,DEN,112,102
MEM,HOU,108,123
MIN,SAS,90,97
BKN,POR,116,130
IND,ATL,97,96
GSW,NYK,112,105
BOS,PHX,106,109
ORL,WAS,114,115
UTA,SAC,110,109
OKC,DAL,89,104
NOP,LAL,105,97
MIL,PHI,112,98
NYK,ORL,113,105
MIA,CLE,106,98
GSW,ATL,119,111
CHI,DET,95,109
BKN,MEM,122,109
IND,CHA,88,100
HOU,SAS,110,112
SAC,DEN,96,108
NOP,UTA,83,88
BOS,LAC,102,116
POR,OKC,126,121
LAL,DAL,111,122
WAS,PHX,131,127
CHI,ORL,91,98
BKN,ATL,105,110
CHA,MIA,101,108
NYK,MIL,93,104
TOR,NOP,94,87
UTA,HOU,115,108
LAC,MIN,91,107
DET,IND,98,115
SAC,SAS,104,114
WAS,DEN,123,113
BOS,GSW,99,86
CLE,DET,101,106
LAC,MEM,114,98
SAS,OKC,92,102
PHI,POR,108,114
LAL,PHX,122,110
ORL,CHA,81,121
HOU,CHI,115,94
IND,MIL,85,99
GSW,MIN,102,103
TOR,ATL,99,105
BOS,DEN,99,119
BKN,DAL,96,105
WAS,SAC,130,122
UTA,OKC,104,112
PHI,LAC,100,112
NYK,DET,92,112
NOP,CHA,125,122
CLE,ORL,116,104
MIN,MIL,95,102
TOR,MIA,89,104
GSW,SAS,85,107
ATL,MEM,107,90
PHX,DAL,100,98
WAS,POR,125,124
DEN,SAC,105,92
CHI,BOS,80,100
NYK,BKN,112,120
MIA,IND,98,102
POR,PHX,110,101
CLE,HOU,112,117
PHI,LAL,118,116
CHI,CHA,115,109
DAL,TOR,78,100
MIL,MEM,93,113
ATL,SAS,99,107
WAS,MIN,104,119
LAC,UTA,108,114
ORL,SAC,115,120
LAL,DEN,101,129
DET,CLE,96,128
